Order_ID,Order_Date,Customer_ID,Customer_Name,City,State,Region,Category,Product,Quantity,Unit_Price,Discount,Sales,Profit,Payment_Method,Shipping_Mode
ORD00001,2024-08-02,CUST5426,Customer 3445,Kolkata,West Bengal,West,Home & Kitchen,Mixer,3,3972,20,9532.8,848.46,Debit Card,Express
ORD00002,2024-11-09,CUST7396,Customer 4844,Ahmedabad,Gujarat,North,Sports,Cricket Bat,4,2633,15,8952.2,858.08,UPI,Same Day
ORD00003,2024-08-31,CUST2528,Customer 3203,Bengaluru,Karnataka,North,Clothing,Jacket,4,2947,10,10609.2,1544.86,Debit Card,Same Day
ORD00004,2024-08-29,CUST8513,Customer 2613,Kolkata,West Bengal,South,Sports,Football,2,2635,0,5270.0,1535.72,Cash,Same Day
ORD00005,2024-02-19,CUST4943,Customer 3074,Mumbai,Maharashtra,South,Home & Kitchen,Vacuum Cleaner,5,975,10,4387.5,1216.79,Credit Card,Express
ORD00006,2024-09-26,CUST8629,Customer 3799,Bengaluru,Karnataka,West,Sports,Tennis Racket,2,361,5,685.9,187.74,UPI,Express
ORD00007,2024-08-04,CUST5859,Customer 380,Delhi,Delhi,North,Sports,Yoga Mat,2,1078,20,1724.8,339.25,UPI,Standard
ORD00008,2024-06-11,CUST6892,Customer 3562,Hyderabad,Telangana,East,Sports,Football,1,2227,10,2004.3,199.85,Credit Card,Standard
ORD00009,2024-12-25,CUST9154,Customer 1571,Hyderabad,Telangana,North,Home & Kitchen,Vacuum Cleaner,4,3304,20,10572.8,2457.14,Debit Card,Standard
ORD00010,2024-01-15,CUST6977,Customer 1485,Delhi,Delhi,East,Clothing,T-Shirt,2,702,10,1263.6,228.31,UPI,Standard
ORD00011,2024-01-13,CUST4157,Customer 2626,Delhi,Delhi,South,Home & Kitchen,Cookware,5,1878,10,8451.0,851.57,Net Banking,Express
ORD00012,2024-11-26,CUST2663,Customer 1530,Pune,Maharashtra,East,Electronics,Laptop,4,3827,15,13011.8,3554.04,Cash,Standard
ORD00013,2024-08-20,CUST8526,Customer 710,Hyderabad,Telangana,West,Electronics,Laptop,3,4229,0,12687.0,3228.89,Debit Card,Standard
ORD00014,2024-04-05,CUST2495,Customer 3305,Chennai,Tamil Nadu,West,Sports,Football,2,4979,10,8962.2,1172.26,UPI,Express
ORD00015,2024-04-10,CUST4696,Customer 3000,Mumbai,Maharashtra,North,Electronics,Smartphone,4,3781,5,14367.8,3276.83,Debit Card,Standard
ORD00016,2024-08-05,CUST6791,Customer 1734,Mumbai,Maharashtra,West,Furniture,Table,5,3674,5,17451.5,3188.98,Cash,Same Day
ORD00017,2024-07-16,CUST8125,Customer 1931,Chennai,Tamil Nadu,East,Clothing,Shoes,1,966,20,772.8,160.8,UPI,Standard
ORD00018,2024-12-11,CUST2986,Customer 147,Pune,Maharashtra,West,Home & Kitchen,Vacuum Cleaner,5,1994,15,8474.5,1114.31,Cash,Standard
ORD00019,2024-05-30,CUST6534,Customer 4062,Ahmedabad,Gujarat,South,Electronics,Smart Watch,2,3119,0,6238.0,1365.64,Debit Card,Same Day
ORD00020,2024-10-30,CUST5548,Customer 3109,Bengaluru,Karnataka,West,Home & Kitchen,Microwave,1,3843,0,3843.0,424.51,Debit Card,Same Day
ORD00021,2024-02-23,CUST2648,Customer 1446,Chennai,Tamil Nadu,West,Electronics,Laptop,3,2455,10,6628.5,1750.46,Cash,Express
ORD00022,2024-12-03,CUST3869,Customer 3235,Pune,Maharashtra,West,Clothing,Shoes,1,298,0,298.0,15.28,Net Banking,Standard
ORD00023,2024-05-14,CUST2218,Customer 4497,Mumbai,Maharashtra,West,Home & Kitchen,Mixer,1,4693,20,3754.4,355.56,UPI,Same Day
ORD00024,2024-10-03,CUST5893,Customer 960,Kolkata,West Bengal,North,Clothing,Jeans,5,762,10,3429.0,543.83,Net Banking,Standard
ORD00025,2024-02-15,CUST4444,Customer 2566,Chennai,Tamil Nadu,East,Clothing,Shoes,1,216,15,183.6,52.35,Cash,Standard
ORD00026,2024-07-06,CUST6088,Customer 1140,Delhi,Delhi,East,Sports,Yoga Mat,1,501,20,400.8,77.38,Net Banking,Standard
ORD00027,2024-02-27,CUST6442,Customer 1896,Chennai,Tamil Nadu,South,Electronics,Smart Watch,2,2016,5,3830.4,1087.98,Credit Card,Same Day
ORD00028,2024-10-25,CUST8343,Customer 2807,Chennai,Tamil Nadu,South,Furniture,Sofa,2,1609,5,3057.1,719.01,Debit Card,Express
ORD00029,2024-01-20,CUST3368,Customer 3848,Delhi,Delhi,West,Electronics,Smart Watch,4,3150,0,12600.0,2607.87,Cash,Same Day
